ID;Nombre;Precio
1;"Monitor LED 24""";25000
2;Teclado Gamer Wireless;12000
3;Procesador AMD Ryzen 5;35000
4;Memoria RAM 16GB DDR4;6000
5;Disco Duro Externo 1TB;8000
6;Laptop Dell Inspiron 15;80000
7;Tarjeta Gráfica NVIDIA GeForce;20000
8;Fuente de Poder 650W;10000
9;Cámara Web Logitech C270;3000
10;Tablet Apple iPad Air;50000
11;Mouse Inalámbrico Logitech;2500
12;Procesador Intel Core i7;45000
13;"Monitor Curvo 32""";40000
14;Teclado Mecánico Razer;15000
15;Memoria RAM 32GB DDR4;12000
16;Disco Duro Interno 2TB;15000
17;Laptop HP Envy x360;90000
18;Tarjeta Gráfica AMD Radeon;25000
19;Fuente de Poder 850W;15000
20;Cámara Web Razer Kiyo;5000
21;Tablet Samsung Galaxy Tab;30000
22;"Monitor LED 27""";30000
23;Teclado Gamer Razer BlackWidow;18000
24;Procesador AMD Ryzen 7;50000
25;Memoria RAM 64GB DDR4;25000
26;Disco Duro Externo 2TB;12000
27;Laptop Lenovo ThinkPad;100000
28;Tarjeta Gráfica NVIDIA Quadro;40000
29;Fuente de Poder 1000W;20000
30;Cámara Web Logitech C920;4000
31;Tablet Apple iPad Pro;70000
32;"Monitor Curvo 34""";50000
33;Teclado Inalámbrico Microsoft;3000
34;Procesador Intel Core i9;60000
35;Memoria RAM 128GB DDR4;50000
36;Disco Duro Interno 4TB;30000
37;Laptop Dell XPS 13;120000
38;Tarjeta Gráfica AMD Radeon Pro;35000
39;Fuente de Poder 1200W;25000
40;Cámara Web Razer Seiren;6000
41;Tablet Samsung Galaxy Tab S;40000
42;"Monitor LED 32""";35000
43;Teclado Gamer Corsair;20000
44;Procesador AMD Ryzen 9;70000
45;Memoria RAM 256GB DDR4;100000
46;Disco Duro Externo 4TB;25000
47;Laptop HP ZBook 15;150000
48;Tarjeta Gráfica NVIDIA Tesla;60000
49;Fuente de Poder 1500W;30000
50;Cámara Web Logitech C922;5000
51;Tablet Apple iPad mini;20000
52;"Monitor Curvo 40""";60000
53;Teclado Inalámbrico Logitech;3500
54;Procesador Intel Core i5;30000
55;Memoria RAM 512GB DDR4;150000
56;Disco Duro Interno 8TB;50000
57;Laptop Lenovo ThinkPad P;180000
58;Tarjeta Gráfica AMD Radeon RX;40000
59;Fuente de Poder 1800W;35000
60;Cámara Web Razer Kiyo Pro;7000
61;Tablet Samsung Galaxy Tab A;25000
62;"Monitor LED 40""";45000
63;Teclado Gamer Razer Ornata;22000
64;Procesador AMD Ryzen Threadripper;100000
65;Memoria RAM 1TB DDR4;250000
66;Disco Duro Externo 8TB;35000
67;Laptop Dell Alienware;200000
68;Tarjeta Gráfica NVIDIA GeForce RTX;80000
69;Fuente de Poder 2000W;40000
70;Cámara Web Logitech C930;6000
71;Tablet Apple iPad Air 2;35000
72;"Monitor Curvo 43""";70000
73;Teclado Inalámbrico Microsoft;4000
74;Procesador Intel Core i3;20000
75;Memoria RAM 2TB DDR4;400000
76;Disco Duro Interno 16TB;80000
77;Laptop HP Envy 17;250000
78;Tarjeta Gráfica AMD Radeon Pro WX;50000
79;Fuente de Poder 2500W;50000
80;Cámara Web Razer Seiren X;8000
81;Tablet Samsung Galaxy Tab S2;30000
82;"Monitor LED 43""";50000
83;Teclado Gamer Corsair K95;28000
84;Procesador AMD Ryzen 5 Pro;40000
85;Memoria RAM 4TB DDR4;600000
86;Disco Duro Externo 16TB;50000
87;Laptop Lenovo ThinkPad X1;300000
88;Tarjeta Gráfica NVIDIA Quadro RTX;100000
89;Fuente de Poder 3000W;60000
90;Cámara Web Logitech C922 Pro;7000
91;Tablet Apple iPad Pro 11;80000
92;"Monitor Curvo 49""";90000
93;Teclado Inalá¡mbrico Logitech;4500
94;Procesador Intel Core i7 Pro;70000
95;Memoria RAM 8TB DDR4;1000000
96;Disco Duro Interno 32TB;120000
97;Laptop Dell Inspiron 17;350000
98;Tarjeta Gráfica AMD Radeon RX 6800;60000
99;Fuente de Poder 3500W;70000
100;Cámara Web Razer Kiyo Pro Max;10000
